Parameter,Active,Default_value,VISA_Command,validated
COMMANDS/FREQUENCY/SET/CENTER/Default_value,true,,,
COMMANDS/FREQUENCY/SET/CENTER/Default_value/Default_value/ANY/ANY,true,1000,:SENSe:FREQuency:CENTer,NOT YET
COMMANDS/FREQUENCY/SET/SPAN,true,,,
COMMANDS/FREQUENCY/SET/SPAN/Default_value,true,,,
COMMANDS/FREQUENCY/SET/SPAN/Default_value/Default_value/ANY/ANY,true,1000,:SENSe:FREQuency:SPAN,NOT YET
COMMANDS/FREQUENCY/SET/START,true,,,
COMMANDS/FREQUENCY/SET/START/Default_value,true,,,
COMMANDS/FREQUENCY/SET/START/Default_value/Default_value/ANY/ANY,true,1000,:FREQuency:STARt,NOT YET
COMMANDS/FREQUENCY/SET/STOP,true,,,
COMMANDS/FREQUENCY/SET/STOP/Default_value,true,,,
COMMANDS/FREQUENCY/SET/STOP/Default_value/Default_value/ANY/ANY,true,2000,:FREQuency:STOP,NOT YET
COMMANDS/FREQUENCY/SET/TIME/SWEEP,true,,,
COMMANDS/FREQUENCY/SET/TIME/SWEEP/Default_value/Agilent Technologies/N9340B,true,3,:SENSe:SWEep:TIME,NOT YET
COMMANDS/INITIATE/DO/CONTINUOUS,true,,,
COMMANDS/INITIATE/DO/CONTINUOUS/Default_value/OFF/ANY/ANY,true,Off,:INITiate:CONTinuous,NOT YET
COMMANDS/INITIATE/DO/IMMEDIATE/SCAN/ACTION/ANY/ANY,,,:INITiate:IMMediate,NOT YET
COMMANDS/INITIATE/DO/ON/CONTINUOUS/ON/ANY/ANY,true,ON,:INITiate:CONTinuous,NOT YET
COMMANDS/INITIATE/GET/CONTINUOUS/SWEEP/ASK/ANY/ANY,true,?,:INITiate:CONTinuous,NOT YET
COMMANDS/MARKER/BEG/ALL/PLACE/BEG/ANY/ANY,true,6,:CALCulate:MARKer1:STATe ON;:CALCulate:MARKer2:STATe ON;:CALCulate:MARKer3:STATe ON;:CALCulate:MARKer4:STATe ON;:CALCulate:MARKer5:STATe ON;:CALCulate:MARKer6:STATe ON;:CALCulate:MARKer1:X 111;:CALCulate:MARKer2:X 222;:CALCulate:MARKer3:X 333;:CALCulate:MARKer4:X 444;:CALCulate:MARKer5:X 555;:CALCulate:MARKer6:X 666;:CALCulate:MARKer1:Y?;:CALCulate:MARKer2:Y?;:CALCulate:MARKer3:Y?;:CALCulate:MARKer4:Y?;:CALCulate:MARKer5:Y?;:CALCulate:MARKer6:Y?,NOT YET
COMMANDS/MARKER/DO/CALCULATE/MAX/1/ANY/ANY,,,:CALCulate:MARKer1:MAX,NOT YET
COMMANDS/MARKER/DO/CALCULATE/MAX/2/ANY/ANY,,,:CALCulate:MARKer2:MAX,NOT YET
COMMANDS/MARKER/DO/CALCULATE/MAX/3/ANY/ANY,,,:CALCulate:MARKer3:MAX,NOT YET
COMMANDS/MARKER/DO/CALCULATE/MAX/4/ANY/ANY,,,:CALCulate:MARKer4:MAX,NOT YET
